x,y,z,Doppler
0.0065714195,0.17384112,-0.13142839,-0.24142432
-0.042057086,0.14978874,-0.078857034,-0.36213648
0.052571356,0.1609079,-0.042057086,0.36213648
0.0,0.19766983,-0.09199987,-0.48284864
-0.06308562,0.15558106,-0.04731422,-0.36213648
0.052571356,0.16631341,0.0,0.24142432
0.057828493,0.16150793,-0.03154281,0.24142432
-0.0052571357,0.16623029,-0.052571356,-0.36213648
-0.057828493,0.16244638,-0.026285678,-0.36213648
0.078857034,0.15522537,0.010514271,0.24142432
0.042057086,0.16796696,-0.021028543,0.24142432
0.019714259,0.2069549,-0.065714195,0.24142432
-0.0052571357,0.16780233,-0.04731422,-0.36213648
-0.06308562,0.16047792,-0.026285678,-0.36213648
0.057828493,0.16447529,0.0052571357,0.24142432
0.08411417,0.14830531,-0.036799952,0.24142432
0.078857034,0.18125929,-0.09199987,-0.24142432
-0.010514271,0.16227616,-0.06308562,-0.36213648
-0.06834276,0.15970105,-0.015771406,-0.24142432
0.04731422,0.16780233,0.0052571357,0.24142432
0.04731422,0.16489485,-0.03154281,0.24142432
0.0,0.20789175,-0.065714195,-0.36213648
-0.0893713,0.14895613,-0.015771406,-0.24142432
0.039428517,0.20944387,0.045999937,0.24142432
0.042057086,0.16895132,0.010514271,0.24142432
0.04731422,0.16714223,-0.015771406,0.24142432
0.039428517,0.18303739,-0.11171413,-0.24142432
-0.021028543,0.16497864,-0.052571356,-0.48284864
-0.057828493,0.16422306,-0.010514271,-0.24142432
0.026285678,0.17235231,-0.0052571357,0.24142432
0.0,0.16788466,-0.04731422,-0.24142432
-0.06308562,0.16125105,-0.021028543,-0.24142432
0.052571356,0.21067733,0.019714259,0.24142432
0.04731422,0.16788466,0.0,0.24142432
0.03154281,0.1695229,-0.026285678,0.24142432
0.015771406,0.15734743,-0.073599905,-0.36213648
-0.06834276,0.15734743,-0.03154281,-0.24142432
0.036799952,0.17017376,-0.010514271,0.24142432
-0.073599905,0.15804845,-0.0052571357,-0.24142432
0.052571356,0.16623029,0.0052571357,0.24142432
0.015771406,0.15970105,-0.06834276,-0.36213648
-0.073599905,0.15673146,-0.021028543,-0.24142432
-0.06834276,0.16013311,0.010514271,-0.24142432
0.03154281,0.16150793,-0.057828493,-0.36213648
0.04731422,0.16656248,0.021028543,0.24142432
0.052571356,0.16598071,-0.010514271,0.24142432
0.036799952,0.1603918,-0.057828493,-0.36213648
-0.073599905,0.15804845,0.0052571357,-0.24142432
-0.0052571357,0.13493751,0.11039984,0.24142432
-0.04731422,0.16656248,-0.021028543,-0.24142432
0.021028543,0.17187059,0.021028543,0.12071216
-0.08411417,0.15198672,-0.015771406,-0.24142432
0.036799952,0.16919652,0.021028543,0.24142432
0.052571356,0.20316426,-0.059142776,-0.24142432
-0.078857034,0.15522537,-0.010514271,-0.24142432
0.010514271,0.17122616,0.03154281,0.24142432
0.0065714195,0.21634051,-0.026285678,0.24142432
-0.03154281,0.25195044,-0.06308562,-0.24142432
-0.045999937,0.2130215,-0.0065714195,-0.24142432
0.045999937,0.20653716,-0.052571356,0.36213648
0.013142839,0.2074759,-0.065714195,0.24142432
0.026285678,0.21483822,0.026285678,0.12071216
0.0065714195,0.21544039,-0.032857098,0.24142432
0.013142839,0.2127172,-0.045999937,0.24142432
0.010514271,0.16598071,0.052571356,0.12071216
0.059142776,0.20726766,-0.032857098,0.36213648
0.026285678,0.2139318,-0.032857098,0.24142432
-0.045999937,0.20048973,-0.072285615,-0.36213648
0.085428454,0.19525196,-0.045999937,0.24142432
0.013142839,0.21513952,-0.032857098,0.24142432
-0.026285678,0.2160409,-0.013142839,-0.24142432
0.032857098,0.21463713,-0.019714259,0.24142432
0.078857034,0.24746794,-0.03154281,0.24142432
0.032857098,0.2139318,-0.026285678,0.24142432
-0.019714259,0.12436059,-0.035485666,-0.36213648
0.015771406,0.12689738,0.02759996,0.24142432
-0.0065714195,0.21783243,-0.0065714195,0.36213648
0.0,0.21312283,-0.045999937,0.24142432
-0.019714259,0.2135277,-0.039428517,-0.36213648
-0.073599905,0.15673146,0.021028543,-0.24142432
0.0065714195,0.20559412,0.072285615,0.12071216
0.015771406,0.16714223,0.04731422,0.12071216
0.045999937,0.2127172,0.013142839,0.24142432
0.0065714195,0.21544039,-0.032857098,0.24142432
0.0,0.17370999,-0.015771406,-0.36213648
-0.06308562,0.1595279,0.03154281,-0.24142432
0.03154281,0.17025495,0.021028543,0.24142432
-0.0065714195,0.21149564,-0.052571356,0.24142432
-0.059142776,0.2082031,-0.026285678,-0.36213648
0.072285615,0.20188491,-0.039428517,0.24142432
-0.0893713,0.14941926,0.010514271,-0.24142432
0.013142839,0.20527881,0.072285615,0.12071216
0.0052571357,0.17235231,0.026285678,0.24142432
-0.019714259,0.20892778,-0.059142776,0.24142432
-0.026285678,0.20401272,-0.072285615,-0.24142432
-0.026285678,0.2155406,-0.019714259,-0.24142432
-0.078857034,0.15522537,0.010514271,-0.24142432
0.015771406,0.1717097,0.026285678,0.24142432
0.039428517,0.21443585,0.0,0.24142432
-0.06834276,0.1590942,0.021028543,-0.24142432
0.03154281,0.17025495,0.021028543,0.24142432
0.0065714195,0.21703802,-0.019714259,0.24142432
-0.015771406,0.16976726,-0.036799952,-0.36213648
