x,y,z,Doppler
0.119599834,0.26196882,-0.101199865,0.24142432
0.015771406,0.16854186,-0.042057086,-0.24142432
0.02759996,0.12689738,-0.015771406,-0.24142432
-0.06834276,0.14755802,-0.06308562,0.24142432
0.078857034,0.15116623,-0.036799952,-0.24142432
-0.042057086,0.16722488,-0.026285678,0.36213648
0.04731422,0.16780233,0.0052571357,-0.24142432
-0.03154281,0.1675551,-0.036799952,0.36213648
0.059142776,0.20611855,-0.039428517,-0.24142432
-0.036799952,0.1704172,-0.0052571357,0.24142432
0.057828493,0.16380177,-0.015771406,-0.24142432
0.04731422,0.1675551,-0.010514271,-0.24142432
0.042057086,0.16854186,-0.015771406,-0.24142432
0.04731422,0.16489485,-0.03154281,-0.24142432
0.052571356,0.16623029,0.0052571357,-0.24142432
0.0,0.17049827,-0.036799952,0.24142432
0.06308562,0.16253142,0.0052571357,-0.24142432
0.057828493,0.16244638,-0.026285678,-0.24142432
-0.03154281,0.17082216,-0.015771406,0.36213648
0.026285678,0.16845986,-0.036799952,-0.24142432
0.015771406,0.17363042,0.0052571357,-0.24142432
-0.010514271,0.17122616,-0.03154281,0.36213648
0.013142839,0.2074759,-0.065714195,-0.24142432
0.026285678,0.1717097,-0.015771406,-0.24142432
0.0,0.17315224,-0.021028543,0.24142432
0.036799952,0.16919652,-0.021028543,-0.24142432
0.013142839,0.21673936,-0.019714259,0.24142432
0.03154281,0.1675551,-0.036799952,-0.24142432
0.052571356,0.20113486,0.065714195,-0.24142432
-0.06834276,0.15831053,0.026285678,0.24142432
-0.010514271,0.17283271,-0.021028543,0.24142432
0.026285678,0.17235231,0.0052571357,-0.24142432
-0.04731422,0.16714223,0.015771406,0.24142432
0.04731422,0.16780233,0.0052571357,-0.24142432
0.0,0.21312283,-0.045999937,0.24142432
0.03154281,0.1695229,-0.026285678,-0.24142432
-0.06834276,0.1590942,0.021028543,0.24142432
0.0052571357,0.17235231,-0.026285678,0.24142432
0.026285678,0.16845986,-0.036799952,-0.24142432
0.0052571357,0.16253142,-0.06308562,-0.24142432
0.036799952,0.17017376,-0.010514271,-0.24142432
0.036799952,0.16976726,-0.015771406,-0.24142432
0.0052571357,0.16780233,-0.04731422,-0.24142432
0.026285678,0.17235231,0.0052571357,-0.24142432
0.021028543,0.17307241,0.0052571357,-0.24142432
-0.06834276,0.15831053,0.026285678,0.24142432
-0.010514271,0.17339149,-0.015771406,0.24142432
0.03154281,0.1695229,-0.026285678,-0.24142432
-0.015771406,0.17370999,0.0,0.24142432
0.019714259,0.2135277,-0.039428517,0.24142432
-0.0893713,0.14895613,0.015771406,0.24142432
0.0,0.21443585,-0.039428517,0.24142432
-0.06308562,0.16184981,0.015771406,0.24142432
0.0065714195,0.21634051,-0.026285678,0.24142432
0.045999937,0.21149564,-0.026285678,-0.24142432
-0.073599905,0.15734743,0.015771406,0.24142432
0.021028543,0.17114544,-0.026285678,0.24142432
0.036799952,0.16919652,-0.021028543,-0.24142432
0.026285678,0.21149564,-0.045999937,-0.24142432
-0.052571356,0.16623029,0.0052571357,0.24142432
0.019714259,0.21463713,-0.032857098,0.24142432
0.03154281,0.17025495,-0.021028543,-0.24142432
-0.04731422,0.16714223,0.015771406,0.24142432
0.021028543,0.17025495,-0.03154281,-0.24142432
0.036799952,0.17049827,0.0,-0.24142432
0.026285678,0.16722488,-0.042057086,-0.24142432
0.042057086,0.16895132,-0.010514271,-0.24142432
0.021028543,0.17243248,-0.015771406,-0.24142432
0.010514271,0.17122616,-0.03154281,0.24142432
0.026285678,0.1704172,-0.026285678,-0.24142432
-0.039428517,0.12448554,0.007885703,0.24142432
-0.052571356,0.16623029,0.0052571357,0.24142432
0.0065714195,0.2130215,-0.045999937,0.36213648
0.045999937,0.20653716,-0.052571356,-0.36213648
0.019714259,0.2069549,-0.065714195,0.24142432
0.010514271,0.1675551,-0.04731422,-0.36213648
0.026285678,0.17243248,0.0,-0.24142432
0.0052571357,0.1704172,-0.036799952,0.36213648
0.026285678,0.2082031,-0.059142776,-0.36213648
0.042057086,0.16919652,0.0052571357,-0.24142432
-0.057828493,0.16380177,0.015771406,0.24142432
0.013142839,0.2140327,-0.039428517,0.36213648
0.036799952,0.1664795,-0.036799952,-0.24142432
-0.057828493,0.16321018,0.021028543,0.24142432
0.0065714195,0.21433513,-0.039428517,0.24142432
0.036799952,0.1675551,-0.03154281,-0.24142432
0.019714259,0.21067733,-0.052571356,0.24142432
0.021028543,0.16796696,-0.042057086,-0.24142432
0.036799952,0.1704172,-0.0052571357,-0.24142432
0.04731422,0.16780233,-0.0052571357,-0.24142432
-0.039428517,0.12247112,0.02365711,0.24142432
0.0,0.21159771,-0.052571356,-0.36213648
0.015771406,0.17370999,0.0,-0.24142432
-0.04731422,0.120358445,0.019714259,0.24142432
0.015771406,0.16854186,-0.042057086,-0.36213648
0.010514271,0.17402789,0.0052571357,-0.24142432
-0.04337137,0.12183478,0.019714259,0.24142432
0.03154281,0.16631341,-0.042057086,-0.24142432
0.04731422,0.16714223,0.015771406,-0.24142432
-0.052571356,0.16422306,0.026285678,0.24142432
0.0,0.21644029,-0.026285678,0.36213648
0.015771406,0.1717097,-0.026285678,-0.24142432
-0.052571356,0.16497864,0.021028543,0.24142432
0.036799952,0.16845986,-0.026285678,-0.24142432
0.026285678,0.21281868,-0.039428517,0.36213648
0.026285678,0.21281868,-0.039428517,-0.24142432
-0.02759996,0.12566632,0.02365711,0.24142432
0.0052571357,0.17402789,-0.010514271,0.36213648
0.026285678,0.21281868,-0.039428517,-0.24142432
0.08411417,0.15198672,0.015771406,-0.24142432
-0.02365711,0.12714216,0.019714259,0.24142432
0.0052571357,0.17402789,-0.010514271,0.36213648
0.019714259,0.21220908,-0.045999937,-0.24142432
0.052571356,0.16556391,0.015771406,-0.24142432
0.032857098,0.2139318,-0.026285678,-0.24142432
0.06308562,0.16047792,0.026285678,-0.24142432
0.026285678,0.17114544,-0.021028543,-0.24142432
0.026285678,0.17235231,0.0052571357,-0.24142432
-0.078857034,0.2494701,0.0,0.36213648
0.03154281,0.17082216,-0.015771406,-0.24142432
0.078857034,0.19235526,0.065714195,-0.36213648
0.015771406,0.17299254,-0.015771406,0.36213648
0.026285678,0.2139318,-0.032857098,-0.24142432
0.010514271,0.17378952,-0.010514271,0.36213648
0.03154281,0.17025495,-0.021028543,-0.24142432
0.057828493,0.16150793,0.03154281,-0.24142432
-0.019714259,0.12714216,0.02365711,0.24142432
0.021028543,0.17025495,-0.03154281,-0.24142432
-0.02759996,0.12689738,0.015771406,0.24142432
0.0052571357,0.17363042,-0.015771406,0.36213648
0.026285678,0.21149564,-0.045999937,-0.24142432
0.042057086,0.16927817,0.0,-0.24142432
-0.02759996,0.12634489,0.019714259,0.24142432
-0.02759996,0.12689738,-0.015771406,0.24142432
0.03154281,0.1695229,-0.026285678,-0.24142432
-0.035485666,0.124921866,0.015771406,0.24142432
0.03154281,0.1695229,-0.026285678,-0.24142432
0.052571356,0.16422306,0.026285678,-0.24142432
0.032857098,0.21190362,-0.039428517,0.36213648
0.042057086,0.16854186,-0.015771406,-0.24142432
-0.010514271,0.17378952,0.010514271,0.24142432
0.0065714195,0.21544039,-0.032857098,-0.24142432
0.0052571357,0.17402789,0.010514271,0.24142432
-0.011828555,0.12732545,0.02759996,0.24142432
0.0052571357,0.17363042,0.015771406,0.24142432
0.0,0.17442447,0.0,0.24142432
0.026285678,0.1717097,-0.015771406,-0.36213648
0.0052571357,0.17434523,0.0,0.24142432
0.0052571357,0.16447529,-0.057828493,0.24142432
0.026285678,0.21149564,-0.045999937,-0.24142432
0.04731422,0.16780233,0.0052571357,-0.24142432
-0.02759996,0.12763032,0.007885703,0.24142432
-0.021028543,0.16919652,-0.036799952,0.48284864
0.04731422,0.1675551,-0.010514271,-0.36213648
-0.013142839,0.2074759,-0.065714195,0.48284864
0.039428517,0.20188491,-0.072285615,-0.36213648
0.042057086,0.16927817,0.0,-0.24142432
0.010514271,0.17402789,-0.0052571357,0.24142432
0.0065714195,0.20316426,-0.078857034,0.36213648
0.052571356,0.20113486,-0.065714195,-0.36213648
0.036799952,0.16976726,-0.015771406,-0.24142432
0.0,0.17434523,-0.0052571357,0.24142432
0.026285678,0.20401272,-0.072285615,0.36213648
0.04731422,0.16380179,-0.036799952,-0.36213648
-0.019714259,0.12926424,0.0039428514,0.24142432
-0.019714259,0.21067733,-0.052571356,0.36213648
0.026285678,0.20401272,-0.072285615,-0.36213648
0.0,0.17434523,-0.0052571357,0.24142432
0.026285678,0.20401272,-0.072285615,0.36213648
0.03154281,0.16489485,-0.04731422,-0.36213648
-0.024971394,0.14839217,-0.015114265,0.3017804
0.013142839,0.20284519,-0.078857034,-0.36213648
0.036799952,0.17017376,0.010514271,-0.24142432
-0.042057086,0.16927817,0.0,0.24142432
0.052571356,0.20113486,-0.065714195,-0.36213648
0.036799952,0.1704172,-0.0052571357,-0.24142432
-0.059142776,0.20981467,-0.0026285679,0.36213648
0.042057086,0.1590942,-0.057828493,-0.36213648
0.036799952,0.17017376,0.010514271,-0.24142432
-0.04731422,0.1675551,0.010514271,0.24142432
0.026285678,0.1695229,-0.03154281,0.36213648
0.036799952,0.1675551,-0.03154281,-0.36213648
0.019714259,0.21067733,-0.052571356,0.24142432
-0.02365711,0.12841961,0.007885703,0.24142432
0.0,0.17410728,-0.010514271,0.24142432
0.0,0.17370999,-0.015771406,0.24142432
0.059142776,0.19930156,-0.065714195,-0.24142432
0.06834276,0.16013311,-0.010514271,-0.24142432
0.04731422,0.11541317,0.039428517,-0.24142432
-0.019714259,0.12714216,0.02365711,0.24142432
-0.021028543,0.17283271,-0.010514271,0.24142432
0.039428517,0.20411852,-0.065714195,-0.36213648
-0.014895217,0.16944613,0.02540949,0.12071216
0.013142839,0.21513952,-0.032857098,0.48284864
0.052571356,0.20496303,-0.052571356,-0.36213648
0.021028543,0.15415338,0.078857034,-0.24142432
-0.04731422,0.16788466,0.0,0.36213648
0.022999968,0.21334901,-0.032857098,0.48284864
0.052571356,0.16422306,-0.026285678,-0.36213648
-0.036799952,0.16919652,-0.021028543,0.36213648
0.010514271,0.17122616,-0.03154281,0.36213648
0.059142776,0.19930156,-0.065714195,-0.36213648
-0.052571356,0.16219097,-0.036799952,0.48284864
0.052571356,0.16422306,-0.026285678,-0.36213648
