x,y,z,Doppler
0.03154281,0.17025495,-0.021028543,-0.12071216
-0.06965704,0.205398,-0.021028541,0.36213648
-0.042057086,0.16722488,-0.026285678,0.36213648
-0.035485666,0.12566632,-0.007885703,0.36213648
0.035485666,0.12535667,-0.011828555,-0.36213648
-0.035485666,0.12566632,-0.007885703,0.24142432
0.03154281,0.1268974,-0.0039428514,-0.24142432
-0.02365711,0.1286615,0.0,0.24142432
0.04731422,0.1675551,-0.010514271,-0.24142432
-0.052571356,0.16556391,0.015771406,0.24142432
0.021028543,0.17114544,-0.026285678,-0.24142432
0.015771406,0.12835908,0.019714259,-0.12071216
-0.02365711,0.12860107,0.0039428514,0.24142432
0.011828555,0.191492,-0.0407428,0.3017804
0.02365711,0.12714216,0.019714259,-0.12071216
-0.057828493,0.16380177,-0.015771406,0.24142432
0.03154281,0.12671348,0.007885703,-0.12071216
-0.03154281,0.1268974,-0.0039428514,0.24142432
0.036799952,0.17017376,0.010514271,-0.24142432
-0.03154281,0.16862383,-0.03154281,0.36213648
0.03154281,0.16489485,-0.04731422,-0.36213648
-0.036799952,0.16522972,-0.042057086,0.36213648
0.036799952,0.16522972,-0.042057086,-0.24142432
0.036799952,0.17017376,0.010514271,-0.24142432
-0.03154281,0.1695229,-0.026285678,0.24142432
-0.04731422,0.16489485,-0.03154281,0.36213648
0.039428517,0.20188491,-0.072285615,0.24142432
0.026285678,0.1704172,-0.026285678,-0.24142432
0.036799952,0.1664795,-0.036799952,-0.36213648
0.035485666,0.124921866,0.015771406,-0.24142432
-0.052571356,0.16497864,-0.021028543,0.24142432
-0.019714259,0.12908371,-0.007885703,0.24142432
0.078857034,0.20316426,-0.0065714195,-0.24142432
-0.02365711,0.12714216,-0.019714259,0.24142432
0.013142839,0.21513952,-0.032857098,0.24142432
-0.02759996,0.12566632,-0.02365711,0.24142432
-0.052571356,0.16422306,-0.026285678,0.24142432
0.026285678,0.1717097,-0.015771406,-0.24142432
-0.03154281,0.1268974,-0.0039428514,0.24142432
0.026285678,0.1704172,-0.026285678,-0.24142432
-0.03154281,0.123922296,-0.02759996,0.36213648
0.036799952,0.1664795,-0.036799952,-0.24142432
-0.057828493,0.16150793,-0.03154281,0.24142432
