x,y,z,Doppler
0.07491418,0.09420201,-0.05125707,-0.36213648
-0.073599905,0.15734743,0.015771406,0.36213648
0.023657111,0.16133398,0.049942788,0.06035608
0.09462844,0.102050796,0.10514271,-0.8449851
0.057828493,0.13077703,0.099885575,-0.48284864
-0.036799952,0.15839781,0.06308562,-0.12071216
0.17348547,0.18790829,0.05519992,0.8449851
0.06834276,0.15334447,0.04731422,-0.6035608
-0.036799952,0.15620156,0.06834276,-0.12071216
0.17348547,0.18540971,0.06308562,0.48284864
-0.073599905,0.1537944,0.036799952,0.8449851
0.03154281,0.1714681,-0.0052571357,0.24142432
-0.10514271,0.18362625,0.052571356,0.6035608
0.18399975,0.24198249,0.027599962,-0.48284864
-0.072285615,0.20188491,0.039428517,0.24142432
0.06637134,0.18035294,0.03351424,0.48284864
0.12660936,0.16957779,0.044247556,-0.76451033
-0.036799952,0.1664795,0.036799952,0.12071216
0.098571286,0.19043747,0.039428517,0.6035608
0.11828555,0.23323831,0.007885703,-0.72427297
-0.059142776,0.20475222,0.045999937,-0.12071216
0.13537124,0.19346994,0.03351424,0.72427297
0.065714195,0.20527881,0.032857098,-0.6035608
-0.072285615,0.1899834,0.078857034,-0.36213648
-0.015771406,0.16556391,0.052571356,-0.24142432
0.10908556,0.14224327,0.070314184,-0.5432047
0.09462844,0.13462994,0.057828493,0.8449851
0.042057086,0.1590942,0.057828493,-0.36213648
-0.06834276,0.14969645,0.057828493,-0.36213648
0.18399975,0.24285536,0.018399976,0.24142432
0.17348547,0.19329152,0.03154281,-0.36213648
-0.04731422,0.15761068,0.057828493,0.24142432
0.05125707,0.07913456,0.09068559,0.8449851
0.078857034,0.14443451,0.057828493,-0.72427297
-0.052571356,0.15593593,0.057828493,-0.12071216
0.1425998,0.1900328,0.009199986,0.48284864
0.073599905,0.28158882,-0.09199987,-0.36213648
-0.1379998,0.24459176,0.119599834,-0.72427297
0.18137118,0.18790829,0.015771406,-0.36213648
-0.06308562,0.15198672,0.057828493,0.36213648
0.10514271,0.091180675,0.10514271,-0.9656973
-0.052571356,0.16422306,0.026285678,-0.12071216
0.17348547,0.19329152,0.03154281,0.6035608
-0.08849511,0.17494579,0.03986661,-0.6035608
-0.078857034,0.14221698,0.06308562,0.8449851
