x,y,z,Doppler
-0.0052571357,0.17235231,-0.026285678,-0.12071216
-0.0039428514,0.14125383,-0.044028513,0.0
-0.073599905,0.14500743,-0.06308562,0.12071216
0.078857034,0.15477961,-0.015771406,0.36213648
0.017742831,0.12534136,0.0019714255,-0.24142432
-0.009638082,0.18026753,-0.04731422,0.12071216
-0.05519992,0.11801057,-0.011828555,0.36213648
0.08411417,0.15244065,0.010514271,-0.24142432
-0.06834276,0.14755802,0.06308562,0.24142432
0.052571356,0.16556391,0.015771406,-0.24142432
-0.078857034,0.15116623,-0.036799952,0.36213648
-0.07491418,0.13154924,-0.015114265,0.42249256
0.05125707,0.11801057,0.02365711,0.24142432
-0.011828555,0.12932436,-0.015771406,0.24142432
0.025628533,0.12218706,0.007885703,0.06035608
-0.007885703,0.12841961,0.02365711,-0.12071216
0.019714259,0.12634489,0.02759996,-0.24142432
-0.078857034,0.1464299,-0.052571356,-0.24142432
-0.05717135,0.13787714,-0.0026285679,0.42249256
-0.02759996,0.12410401,-0.02365711,-0.36213648
0.0,0.1286615,0.02365711,-0.12071216
-0.072285615,0.1296088,0.0032857088,-0.5432047
-0.078857034,0.12637517,-0.018399974,0.6035608
0.011828555,0.12408568,-0.0019714257,0.0
0.059142776,0.11337467,0.02759996,-0.36213648
-0.078857034,0.14978874,-0.042057086,0.24142432
-0.05519992,0.11621855,0.02365711,-0.36213648
-0.03351424,0.14445937,0.022342827,0.36213648
0.039428517,0.12316729,0.019714259,0.12071216
0.078857034,0.14221698,0.06308562,0.36213648
-0.0039428514,0.13075893,0.0,0.24142432
0.05519992,0.11695195,0.019714259,0.36213648
-0.052571356,0.1320199,0.008323798,0.48284864
0.0019714255,0.12799516,-0.0059142774,-0.12071216
0.06702848,0.1117171,0.011828555,-0.24142432
-0.03154281,0.12541866,-0.019714259,0.24142432
0.0039428514,0.13052092,0.007885703,0.12071216
-0.078857034,0.15116623,0.036799952,-0.12071216
0.03154281,0.12189856,0.035485666,0.12071216
-0.073599905,0.14260511,0.06834276,0.12071216
0.04731422,0.15089174,0.073599905,0.12071216
0.073599905,0.13045965,0.0893713,-0.24142432
-0.047971364,0.13316296,0.04797136,0.42249256
-0.03154281,0.17025495,0.021028543,-0.36213648
0.035485666,0.09485984,0.08279989,-0.24142432
-0.0893713,0.13585608,0.06308562,-0.12071216
0.06702848,0.087084405,0.07097133,0.36213648
0.0893713,0.14211978,0.04731422,0.36213648
0.09462844,0.14035867,0.042057086,-0.24142432
-0.0893713,0.14026019,0.052571356,0.36213648
0.04731422,0.10189205,0.06702848,-0.24142432
-0.011828555,0.122851335,0.04337137,-0.12071216
0.03154281,0.16681759,0.021028541,0.06035608
0.015771406,0.11561503,0.059142776,-0.12071216
0.099885575,0.1283237,0.06308562,-0.48284864
-0.08411417,0.1414375,0.057828493,0.36213648
0.04337137,0.1103872,0.05519992,0.24142432
0.011828556,0.114264295,0.05125707,-0.06035608
-0.03154281,0.16489485,0.04731422,0.36213648
0.039428517,0.11695194,0.04337137,0.36213648
0.04731422,0.13867487,0.09462844,-0.12071216
-0.0052571357,0.16623029,0.052571356,-0.12071216
0.073599905,0.13707122,0.078857034,-0.24142432
-0.0893713,0.13045965,0.073599905,0.48284864
-0.06834276,0.15620156,0.036799952,-0.12071216
0.06834276,0.14755802,0.06308562,0.24142432
-0.010514271,0.17283271,0.021028543,0.24142432
0.073599905,0.13707122,0.078857034,0.36213648
-0.021028543,0.17025495,0.03154281,0.24142432
-0.08411417,0.14347458,0.052571356,-0.24142432
0.099885575,0.1414375,0.021028543,0.36213648
-0.11039984,0.12647979,0.04731422,-0.48284864
-0.015771406,0.17339149,0.010514271,0.12071216
0.04731422,0.11066851,0.05125707,0.24142432
0.09462844,0.1296095,0.06834276,-0.12071216
-0.099885575,0.13817573,0.036799952,0.36213648
0.007885705,0.1661312,0.039428517,-0.06035608
0.015771408,0.16723552,0.028914245,0.0
-0.078857034,0.16956249,0.04665708,0.3017804
-0.039428517,0.14933752,0.06834276,-0.3017804
0.078857034,0.15334447,0.026285678,-0.36213648
-0.018399974,0.16083184,0.047314223,0.18106824
0.057828493,0.1603918,0.036799952,-0.24142432
-0.073599905,0.113220245,0.11039984,-0.24142432
0.036799952,0.1537944,0.073599905,0.12071216
-0.057828493,0.16321018,0.021028543,-0.24142432
0.073599905,0.13707122,0.078857034,-0.12071216
-0.042057086,0.16895132,0.010514271,0.12071216
0.0052571357,0.15271236,0.08411417,-0.12071216
0.052571356,0.16598071,0.010514271,-0.12071216
-0.06834276,0.1590942,0.021028543,-0.12071216
0.073599905,0.15804845,0.0052571357,-0.36213648
-0.11171413,0.18303739,-0.039428517,0.24142432
-0.007885704,0.16846971,-0.010514273,-0.12071216
0.073599905,0.15593593,0.026285678,-0.24142432
-0.052571356,0.16598071,0.010514271,0.24142432
0.070971325,0.15216178,0.031542815,0.42249256
0.08411417,0.14951171,0.03154281,-0.36213648
-0.018399974,0.15166783,0.08411417,-0.12071216
-0.06702848,0.17385444,0.058485635,0.48284864
-0.010514271,0.17211162,-0.026285678,-0.24142432
0.16428548,0.12739412,0.065714195,0.24142432
-0.14457123,0.16307457,-0.0065714195,0.48284864
0.05958087,0.15488078,0.031542815,0.28166172
-0.09462844,0.14652425,0.0,0.6035608
-0.057828493,0.16244638,-0.026285678,-0.24142432
0.0893713,0.13817573,0.057828493,-0.24142432
-0.10251415,0.15289801,0.06308563,0.72427297
-0.09462844,0.14567298,-0.015771406,-0.24142432
-0.099885575,0.14289552,-0.0052571357,-0.48284864
0.07491418,0.10541657,0.019714259,0.36213648
-0.05125707,0.10201827,0.047314223,0.6035608
-0.10514271,0.18688965,-0.039428517,-0.12071216
0.05125707,0.11801057,0.02365711,0.24142432
0.035485666,0.11820801,0.04337137,-0.12071216
-0.09462844,0.14500743,-0.021028543,0.24142432
-0.015771406,0.17082216,0.03154281,0.24142432
-0.009857129,0.1286313,0.011828555,-0.24142432
