x,y,z,Doppler
-0.03154281,0.20008881,0.16559978,-0.12071216
0.027599962,0.30385324,0.009199988,0.24142432
0.01708569,0.14900932,-0.0151142655,-0.48284864
-0.013142839,0.1348055,0.17085691,0.36213648
0.036799952,0.30287674,0.009199988,0.36213648
0.052571356,0.20653716,0.045999937,-0.36213648
0.059142776,0.1944763,-0.078857034,0.48284864
0.052571356,0.17970404,0.11171413,0.24142432
0.03154281,0.21215625,0.14982836,-0.24142432
0.039428517,0.20500106,0.15771407,0.24142432
0.015771406,0.20816173,0.15771407,-0.36213648
0.03679995,0.18785474,0.14325695,0.36213648
0.039428517,0.22119649,0.13405696,-0.24142432
0.02365711,0.20741355,0.15771407,0.24142432
0.06308562,0.24784459,-0.05519992,-0.36213648
0.0,0.18856898,0.18137118,0.6035608
0.05782849,0.20415467,0.11171413,-0.3017804
0.10251414,0.23955159,-0.02365711,-0.48284864
0.02365711,0.18707913,0.18137118,0.36213648
0.036799952,0.1704172,-0.0052571357,-0.6035608
0.057828493,0.13462994,0.09462844,0.48284864
0.051257074,0.2266044,0.16099979,-0.42249256
0.045999937,0.20048973,-0.072285615,0.24142432
0.04731422,0.20920466,0.14982836,0.24142432
0.04731422,0.20920466,0.14982836,-0.36213648
0.039428517,0.20500106,0.15771407,0.36213648
0.039428517,0.21622081,0.14194266,-0.36213648
0.08017132,0.2213579,-0.03745709,-0.42249256
0.02365711,0.18707913,0.18137118,0.36213648
0.059142772,0.20160326,0.15377122,-0.48284864
0.05519992,0.2556258,-0.007885703,-0.24142432
0.0,0.1720133,0.19714257,0.6035608
0.05519992,0.21779683,0.13405696,-0.36213648
0.05519992,0.25526065,-0.015771406,-0.24142432
0.055199925,0.22978255,0.19319974,0.36213648
0.059142776,0.1816163,0.10514271,-0.24142432
0.03154281,0.19329152,0.17348547,0.24142432
0.042057086,0.16522972,-0.036799952,-0.8449851
0.02365711,0.1608027,0.20502828,0.36213648
0.045999937,0.2127172,0.013142839,-0.36213648
0.045999937,0.2317996,0.19319974,0.12071216
0.011828555,0.12878227,0.019714259,0.36213648
0.036799952,0.16845986,0.026285678,-0.36213648
0.036799952,0.22550677,0.20239973,-0.12071216
0.042057086,0.16522972,-0.036799952,0.48284864
0.08674274,0.20726359,0.13405696,0.24142432
0.039428517,0.20500106,0.15771407,-0.36213648
0.04731422,0.20332585,0.15771407,0.24142432
0.0,0.17315224,0.021028543,0.36213648
0.05519992,0.22674933,0.11828555,-0.24142432
0.010514271,0.16895132,-0.042057086,0.48284864
-0.007885703,0.19568948,0.17348547,-0.6035608
0.009199988,0.21980472,0.21159971,0.6035608
0.06965704,0.22901404,-0.0065714195,-0.5432047
0.10251414,0.2323033,-0.06308562,0.36213648
0.021028543,0.123941414,0.12091411,0.72427297
0.03154281,0.20008881,0.16559978,-0.48284864
0.025628535,0.17780477,0.15771407,0.48284864
0.06308562,0.21564485,0.13405696,-0.36213648
0.036799952,0.1664795,-0.036799952,-0.48284864
0.026285678,0.12789223,0.11565699,-0.8449851
0.04731422,0.16656248,0.021028543,-0.36213648
0.02365711,0.12841961,0.007885703,0.48284864
0.0,0.13056552,0.11565699,0.72427297
0.078857034,0.19635467,-0.052571356,0.36213648
0.04731422,0.2146332,0.14194266,0.24142432
-0.009199988,0.16349608,0.25759965,-0.72427297
0.03154281,0.20636155,0.15771407,0.36213648
-0.007885703,0.20240627,0.16559978,-0.72427297
0.08279989,0.22133963,0.19319974,0.6035608
0.039428517,0.19868536,0.16559978,-0.8449851
0.039428517,0.22119649,0.13405696,-0.36213648
0.047971364,0.18796168,-0.011828557,-0.5432047
-0.004599995,0.22475353,0.20239973,0.24142432
0.026285678,0.17235231,0.0052571357,-0.48284864
0.032199956,0.19016762,-0.02694282,0.6639169
0.036799952,0.24075516,0.18399975,-0.24142432
0.065714195,0.19930156,-0.059142776,0.6035608
0.015771406,0.18790829,0.18137118,-0.72427297
0.05519992,0.20726359,0.14982836,0.36213648
0.059142776,0.17334358,0.11828555,-0.48284864
0.06834276,0.219686,-0.058485635,-0.6035608
0.045999937,0.21947286,0.20699972,0.36213648
0.026285678,0.17114544,0.021028543,-0.48284864
0.08279989,0.29017472,0.045999937,-0.36213648
0.015771406,0.18790829,0.18137118,-0.36213648
0.04797136,0.2303473,-0.03745709,0.42249256
0.039428517,0.22119649,0.13405696,-0.24142432
0.078857034,0.1944763,-0.059142776,-0.48284864
0.007885703,0.19568948,0.17348547,0.48284864
0.060018964,0.20810936,-0.00744761,-0.44261125
-0.004599994,0.19590901,0.20437114,0.42249256
0.08017132,0.22585624,-0.0032857098,0.6639169
0.021028543,0.14500743,0.09462844,0.36213648
0.0,0.18856898,0.18137118,-0.6035608
0.03154281,0.19486606,0.16954263,0.42249256
0.04731422,0.2146332,0.14194266,-0.36213648
-0.02365711,0.19441424,0.17348547,0.36213648
0.0,0.13917221,0.10514271,-0.72427297
0.03679995,0.19036223,0.024971394,0.48284864
0.015771406,0.1512371,0.21291399,-0.48284864
0.021028543,0.118585475,0.12617125,0.72427297
0.02365711,0.20117362,0.16559978,-0.36213648
