x,y,z,Doppler
0.0,0.2155406,0.032857098,-0.36213648
0.015771406,0.14895613,0.0893713,0.6035608
0.0,0.23337159,0.11828555,-0.24142432
0.0052571357,0.14969645,0.0893713,0.8449851
-0.03154281,0.25671816,0.039428517,-0.24142432
0.0,0.18723592,0.11171413,0.8449851
0.015771406,0.15198672,-0.08411417,0.48284864
-0.036799952,0.27841485,0.119599834,-0.12071216
0.042057086,0.15486887,-0.06834276,0.36213648
0.05519992,0.24570267,-0.07097133,-0.48284864
0.036799952,0.15116623,-0.078857034,0.48284864
0.05519992,0.24784458,-0.06308562,-0.36213648
0.04731422,0.15944125,-0.052571356,0.48284864
-0.015771406,0.24633458,0.08674274,-0.12071216
-0.010514271,0.14614652,-0.09462844,0.72427297
0.06308562,0.24784459,-0.05519992,-0.36213648
-0.026285678,0.18918619,-0.10514271,0.6035608
-0.009199988,0.26724663,0.14719981,-0.36213648
0.015771406,0.14211978,-0.099885575,0.48284864
-0.035485663,0.23462433,0.106456995,-0.6035608
-0.039428517,0.18303739,0.11171413,0.48284864
0.052571356,0.20653716,-0.045999937,0.36213648
0.059142776,0.20611855,-0.039428517,-0.48284864
-0.022342825,0.20065908,0.12354268,-0.42249256
0.013142839,0.19403172,-0.098571286,-0.24142432
-0.03154281,0.22702342,0.12617125,0.24142432
0.052571356,0.13676845,-0.09462844,0.8449851
-0.02365711,0.20741355,0.15771407,-0.6035608
-0.027599962,0.28973687,0.09199987,0.24142432
-0.010514271,0.17410728,0.0,-0.48284864
0.0,0.26116094,0.015771406,0.36213648
-0.03154281,0.23123007,0.11828555,-0.8449851
0.05454278,0.20932329,-0.09857129,-0.48284864
-0.045999937,0.25225762,0.16559978,0.36213648
0.072285615,0.18397868,-0.09199987,-0.6035608
-0.08674274,0.2019449,0.14194266,0.36213648
-0.05125707,0.22744754,0.118285544,-0.5432047
0.03154281,0.13946977,-0.099885575,-0.36213648
-0.06439991,0.26914018,0.12879983,0.48284864
0.010514271,0.17211162,0.026285678,-0.8449851
0.055857066,0.18574896,0.0026285667,0.06035608
-0.055199925,0.25625235,0.1563998,-0.12071216
0.019714259,0.19962631,-0.085428454,0.36213648
0.042057086,0.15486887,-0.06834276,-0.72427297
-0.06439991,0.28915203,0.073599905,-0.72427297
0.0,0.26116094,0.015771406,-0.8449851
0.0,0.15558106,-0.078857034,0.48284864
-0.015771406,0.25683922,0.04731422,0.36213648
0.019714259,0.2564064,0.039428517,0.18106824
0.013142839,0.18268314,-0.11828555,-0.48284864
-0.11039985,0.24355139,0.14719981,0.48284864
0.021028543,0.16919652,0.036799952,-0.9656973
-0.119599834,0.23916791,0.14719981,-0.36213648
0.039428517,0.16943821,-0.13142839,0.8449851
-0.027599962,0.29893878,0.055199925,-0.48284864
0.019714259,0.19347452,-0.098571286,-0.36213648
0.015771406,0.26116094,0.0,-0.48284864
