x,y,z,Doppler
0.0065714195,0.13528515,0.17085691,-0.36213648
-0.019714259,0.21067733,-0.052571356,0.6035608
-0.072285615,0.20188491,0.039428517,0.36213648
-0.06308562,0.16928026,0.18925688,0.6035608
-0.04731422,0.16489485,-0.03154281,0.72427297
-0.09462844,0.22133702,0.10251414,-0.36213648
-0.078857034,0.1944763,0.059142776,0.24142432
-0.015771406,0.22412889,0.13405696,-0.24142432
0.009857129,0.15704101,0.14457123,0.6035608
0.0059142765,0.19414401,0.0065714195,0.6639169
0.01379998,0.1713058,0.16428548,0.5432047
0.036799952,0.17017376,-0.010514271,0.36213648
0.039428517,0.19183834,0.17348547,0.36213648
-0.04731422,0.25683922,-0.015771406,0.48284864
0.03154281,0.08885165,0.09068559,0.72427297
0.0,0.19882181,0.13405696,-0.36213648
-0.057828493,0.16447529,0.0052571357,0.24142432
0.02365711,0.08717362,0.09462844,0.72427297
0.015771406,0.08476145,-0.013142839,0.36213648
0.015771406,0.17128874,0.19714257,0.24142432
-0.0039428514,0.09024054,0.09462844,-0.9656973
-0.019714259,0.17764972,0.124856964,0.36213648
0.032857098,0.15366733,0.15114264,-0.36213648
0.015771406,0.12769121,-0.02365711,0.6035608
-0.0039428514,0.075926304,0.106456995,0.8449851
-0.0039428514,0.09024054,0.09462844,-0.9656973
-0.007885703,0.21434328,0.14982836,0.36213648
-0.013142839,0.19723243,0.09199987,0.24142432
0.0052571357,0.06507075,0.057828493,-0.8449851
0.0065714195,0.18712057,0.11171413,0.36213648
0.0,0.07779053,0.039428517,-0.48284864
0.0,0.13056552,0.11565699,0.6035608
-0.09199987,0.28383422,-0.06439991,-0.36213648
0.022342825,0.079974204,-0.013142839,0.36213648
-0.14194266,0.2080123,-0.07097133,0.48284864
0.039428517,0.09831258,0.19057116,0.8449851
-0.032857098,0.2090311,-0.052571356,0.36213648
-0.0039428514,0.12860107,-0.02365711,0.72427297
-0.013142839,0.20284519,-0.078857034,-0.24142432
0.059142776,0.15809973,0.1379998,0.48284864
0.02365711,0.12841961,-0.007885703,0.48284864
0.0059142774,0.10900898,0.1629712,-0.72427297
0.007885703,0.120099835,-0.05125707,0.8449851
0.019714259,0.07516174,0.20371401,0.48284864
0.007885703,0.12448554,-0.039428517,-0.48284864
0.0052571357,0.16623029,-0.052571356,-0.24142432
-0.019714259,0.19962631,-0.085428454,-0.24142432
0.052571356,0.15162261,-0.06834276,0.36213648
0.0039428514,0.063432194,0.1143427,0.72427297
-0.015771406,0.09223543,0.14719981,-0.9656973
-0.026285678,0.14055544,-0.099885575,-0.24142432
-0.0065714195,0.18712057,0.11171413,0.24142432
0.02759996,0.12763032,0.007885703,-0.36213648
-0.011828555,0.10058681,0.08279989,0.6035608
-0.013142839,0.1734681,0.13142839,-0.24142432
-0.02694282,0.18892366,-0.038771376,0.36213648
-0.045999937,0.21057482,0.032857098,0.24142432
-0.010514271,0.09298152,0.14719981,-0.8449851
-0.021028543,0.09916641,0.14194266,0.72427297
0.02365711,0.15470392,-0.065714195,0.48284864
0.04337137,0.12335648,0.0039428514,0.36213648
-0.021028543,0.16321018,-0.057828493,0.8449851
0.0,0.17396528,0.13142839,0.36213648
0.0,0.15558106,-0.078857034,-0.36213648
0.011828555,0.13028249,0.0,-0.36213648
0.019714259,0.16201188,0.14457123,-0.36213648
-0.011828555,0.13028249,0.0,-0.48284864
0.019714259,0.14924797,0.15771407,-0.24142432
0.026285678,0.113975845,0.18399975,0.48284864
0.011828555,0.12811662,-0.02365711,-0.48284864
0.026285678,0.13286956,0.17085691,-0.36213648
0.015771406,0.12980431,-0.0039428514,-0.36213648
0.0045999936,0.13923723,0.13339981,-0.6639169
-0.01708569,0.16071674,0.10514271,-0.3017804
-0.015771406,0.2019449,0.16559978,0.24142432
0.0,0.12710923,0.2286854,-0.48284864
0.021028543,0.08459826,0.0026285679,-0.36213648
-0.008323798,0.16536063,0.16034263,-0.6437982
0.03154281,0.12297782,-0.03154281,0.72427297
0.019714259,0.14198227,0.16428548,-0.36213648
0.03154281,0.12597522,0.015771406,-0.24142432
0.06308562,0.1777033,0.18137118,-0.36213648
0.0153333135,0.15393136,-0.0021904726,0.3218991
0.03154281,0.14874962,0.21291399,0.36213648
0.019714259,0.12926424,0.0039428514,-0.36213648
0.0039428514,0.09024054,0.09462844,-0.9656973
